date,totalConfirmed,totalDeaths,totalRecovered,newConfirmed,newDeaths,newRecovered
01-30-2020,1,0,-1,1,0,-1
01-31-2020,1,0,-1,0,0,-1
02-01-2020,1,0,-1,0,0,-1
02-02-2020,2,0,-1,1,0,-1
02-03-2020,3,0,-1,1,0,-1
02-04-2020,3,0,-1,0,0,-1
02-05-2020,3,0,-1,0,0,-1
02-06-2020,3,0,-1,0,0,-1
02-07-2020,3,0,-1,0,0,-1
02-08-2020,3,0,-1,0,0,-1
02-09-2020,3,0,-1,0,0,-1
02-10-2020,3,0,-1,0,0,-1
02-11-2020,3,0,-1,0,0,-1
02-12-2020,3,0,-1,0,0,-1
02-13-2020,3,0,-1,0,0,-1
02-14-2020,3,0,-1,0,0,-1
02-15-2020,3,0,-1,0,0,-1
02-16-2020,3,0,-1,0,0,-1
02-17-2020,3,0,-1,0,0,-1
02-18-2020,3,0,-1,0,0,-1
02-19-2020,3,0,-1,0,0,-1
02-20-2020,3,0,-1,0,0,-1
02-21-2020,3,0,-1,0,0,-1
02-22-2020,3,0,-1,0,0,-1
02-23-2020,3,0,-1,0,0,-1
02-24-2020,3,0,-1,0,0,-1
02-25-2020,3,0,-1,0,0,-1
02-26-2020,3,0,-1,0,0,-1
02-27-2020,3,0,-1,0,0,-1
02-28-2020,3,0,-1,0,0,-1
02-29-2020,3,0,-1,0,0,-1
03-01-2020,3,0,-1,0,0,-1
03-02-2020,5,0,-1,2,0,-1
03-03-2020,5,0,-1,0,0,-1
03-04-2020,27,0,-1,22,0,-1
03-05-2020,29,0,-1,2,0,-1
03-06-2020,31,0,-1,2,0,-1
03-07-2020,34,0,-1,3,0,-1
03-08-2020,39,0,-1,5,0,-1
03-09-2020,44,0,-1,5,0,-1
03-10-2020,50,0,-1,6,0,-1
03-11-2020,60,0,-1,10,0,-1
03-12-2020,74,0,-1,14,0,-1
03-13-2020,81,1,-1,7,1,-1
03-14-2020,84,2,-1,3,1,-1
03-15-2020,112,2,10,28,0,-1
03-16-2020,128,2,13,16,0,3
03-17-2020,137,3,13,9,1,0
03-18-2020,169,3,14,32,0,1
