date,totalConfirmed,totalDeaths,totalRecovered,newConfirmed,newDeaths,newRecovered
03-26-2020,2,0,-1,2,0,-1
03-27-2020,2,0,-1,0,0,-1
03-28-2020,2,0,-1,0,0,-1
03-29-2020,2,0,-1,0,0,-1
03-30-2020,2,0,-1,0,0,-1
03-31-2020,2,0,-1,0,0,-1
04-01-2020,3,0,-1,1,0,-1
04-02-2020,3,0,-1,0,0,-1
04-03-2020,3,0,-1,0,0,-1
04-04-2020,3,0,-1,0,0,-1
04-05-2020,3,0,-1,0,0,-1
04-06-2020,3,0,-1,0,0,-1
04-07-2020,3,0,-1,0,0,-1
04-08-2020,3,0,-1,0,0,-1
04-09-2020,3,0,-1,0,0,-1
04-10-2020,3,0,-1,0,0,-1
04-11-2020,3,0,-1,0,0,-1
04-12-2020,3,0,-1,0,0,-1
04-13-2020,3,0,-1,0,0,-1
04-14-2020,3,0,-1,0,0,-1
04-15-2020,3,0,-1,0,0,-1
04-16-2020,3,0,-1,0,0,-1
04-17-2020,3,0,-1,0,0,-1
04-18-2020,3,0,-1,0,0,-1
04-19-2020,3,0,-1,0,0,-1
04-20-2020,4,1,-1,1,1,-1
04-21-2020,4,1,-1,0,0,-1
04-22-2020,4,1,-1,0,0,-1
04-23-2020,4,1,-1,0,0,-1
04-24-2020,5,1,-1,1,0,-1
04-25-2020,5,1,-1,0,0,-1
04-26-2020,6,1,-1,1,0,-1
04-27-2020,6,1,-1,0,0,-1
04-28-2020,6,1,-1,0,0,-1
04-29-2020,6,1,-1,0,0,-1
04-30-2020,6,1,-1,0,0,-1
05-01-2020,6,1,-1,0,0,-1
05-02-2020,6,1,-1,0,0,-1
05-03-2020,6,1,-1,0,0,-1
05-04-2020,6,1,-1,0,0,-1
05-05-2020,6,1,-1,0,0,-1
05-06-2020,7,1,-1,1,0,-1
05-07-2020,7,1,-1,0,0,-1
05-08-2020,7,1,-1,0,0,-1
05-09-2020,7,1,-1,0,0,-1
05-10-2020,7,1,-1,0,0,-1
05-11-2020,7,1,-1,0,0,-1
05-12-2020,7,1,-1,0,0,-1
05-13-2020,7,1,-1,0,0,-1
05-14-2020,7,1,-1,0,0,-1
05-15-2020,7,1,-1,0,0,-1
05-16-2020,8,1,-1,1,0,-1
05-17-2020,8,1,-1,0,0,-1
05-18-2020,8,1,-1,0,0,-1
05-19-2020,8,1,-1,0,0,-1
05-20-2020,8,1,-1,0,0,-1
05-21-2020,8,1,-1,0,0,-1
05-22-2020,8,1,-1,0,0,-1
05-23-2020,8,1,-1,0,0,-1
05-24-2020,8,1,-1,0,0,-1
05-25-2020,8,1,-1,0,0,-1
05-26-2020,8,1,-1,0,0,-1
05-27-2020,8,1,-1,0,0,-1
05-28-2020,8,1,-1,0,0,-1
05-29-2020,8,1,-1,0,0,-1
05-30-2020,8,1,-1,0,0,-1
05-31-2020,8,1,-1,0,0,-1
06-01-2020,8,1,-1,0,0,-1
06-02-2020,8,1,-1,0,0,-1
06-03-2020,8,1,-1,0,0,-1
06-04-2020,8,1,-1,0,0,-1
06-05-2020,8,1,-1,0,0,-1
06-06-2020,8,1,-1,0,0,-1
06-07-2020,8,1,-1,0,0,-1
06-08-2020,8,1,-1,0,0,-1
06-09-2020,8,1,-1,0,0,-1
06-10-2020,8,1,7,0,0,-1
06-11-2020,8,1,7,0,0,0
06-12-2020,8,1,7,0,0,0
06-13-2020,8,1,7,0,0,0
06-14-2020,8,1,7,0,0,0
06-15-2020,8,1,7,0,0,0
06-16-2020,8,1,7,0,0,0
06-17-2020,8,1,7,0,0,0
06-18-2020,8,1,7,0,0,0
06-19-2020,8,1,7,0,0,0
06-20-2020,8,1,7,0,0,0
06-21-2020,8,1,7,0,0,0
06-22-2020,8,1,7,0,0,0
06-23-2020,8,1,7,0,0,0
06-24-2020,8,1,7,0,0,0
06-25-2020,8,1,7,0,0,0
06-26-2020,8,1,7,0,0,0
06-27-2020,8,1,7,0,0,0
06-28-2020,8,1,7,0,0,0
06-29-2020,8,1,7,0,0,0
06-30-2020,8,1,7,0,0,0
07-01-2020,8,1,7,0,0,0
07-02-2020,8,1,7,0,0,0
07-03-2020,8,1,7,0,0,0
